SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionVillage,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto
7662,7661,2017-12-29,"Village Headmen","Village Results","Kerry Town",Kamara,Misbao,I,808080,523,,Yes,Final/Certified,
7739,7737,2017-12-29,"Village Headmen","Village Results",Macdonald,Coker,"Oseh Njai",I,808080,518,,Yes,Final/Certified,
7696,7695,2017-12-29,"Village Headmen","Village Results","Kossoh Town",Koroma,Momodu,I,808080,515,,No,Final/Certified,
7524,7523,2017-12-29,"Village Headmen","Village Results","Campbell Town",Kamara,Ibrahim,I,808080,513,,Yes,Final/Certified,
7595,7594,2017-12-29,"Village Headmen","Village Results",Gloucester,Kallon,"William Bockarie",I,808080,506,,No,Final/Certified,
7479,7478,2017-12-29,"Village Headmen","Village Results",Benguema,Dumbuya,Moses,I,808080,494,,No,Final/Certified,
7520,7519,2017-12-29,"Village Headmen","Village Results","Campbell Town",Kamara,Abdul,I,808080,483,,No,Final/Certified,
7465,7464,2017-12-29,"Village Headmen","Village Results","Bassa Town",Jalloh,Chernor,I,808080,473,,No,Final/Certified,
7614,7613,2017-12-29,"Village Headmen","Village Results",Hamilton,Conteh,Maloka,I,808080,473,,No,Final/Certified,
7710,7709,2017-12-29,"Village Headmen","Village Results",Lakka,Tucker,Foday,I,808080,457,,Yes,Final/Certified,
7831,7830,2017-02-12,"Village Headmen","Village Results",,Kamara,Sallieu,I,808080,448,,No,Final/Certified,
7868,7866,2017-12-29,"Village Headmen","Village Results",York,Pratt,Julrick,I,808080,437,,Yes,Final/Certified,
7647,7646,2017-12-29,"Village Headmen","Village Results",Kassie,Koroma,"Isaac Ismail",I,808080,424,,Yes,Final/Certified,
7655,7653,2017-12-29,"Village Headmen","Village Results",Kent,Massah,Samuel,I,808080,422,,Yes,Final/Certified,
7451,7450,2017-12-29,"Village Headmen","Village Results",Adonkia,Kamara,"Mohamed Osaio",I,808080,419,,No,Final/Certified,
7786,7784,2017-12-29,"Village Headmen","Village Results",Mambo,Samai,Mohamed,I,808080,411,,Yes,Provisional,
7780,7779,2017-12-29,"Village Headmen","Village Results","Mama Beach",Samuel,Thompson,I,808080,406,,Yes,Final/Certified,
7449,7448,2017-12-29,"Village Headmen","Village Results",Adonkia,Fallah,"Steven Sahr",I,808080,403,,No,Final/Certified,
7522,7521,2017-12-29,"Village Headmen","Village Results","Campbell Town",Williams,Josephus,I,808080,394,,No,Final/Certified,
7516,7514,2017-12-29,"Village Headmen","Village Results","Campbell Town",Stafford,"Ivan Michael",I,808080,375,,No,Final/Certified,
7788,7787,2017-12-29,"Village Headmen","Village Results",Mambo,Amara,Julius,I,808080,367,,No,Final/Certified,
7591,7590,2017-12-29,"Village Headmen","Village Results",Gloucester,Kamara,"Renka Kalvin",I,808080,357,,No,Final/Certified,
7518,7517,2017-12-29,"Village Headmen","Village Results","Campbell Town",Conteh,"Issa Alimamy",I,808080,356,,No,Final/Certified,
7511,7509,2017-12-29,"Village Headmen","Village Results","Bureh Town",Williams,Prince,I,808080,352,,Yes,Final/Certified,
7805,7804,2017-12-29,"Village Headmen","Village Results","Mano Koya",Kargbo,Alpha,I,808080,351,,No,Final/Certified,
7475,7474,2017-12-29,"Village Headmen","Village Results",Bathurst,Johnson,"Theophilus Adeyemi",I,808080,347,,Yes,Final/Certified,
7820,7818,2017-12-29,"Village Headmen","Village Results",Matindi,Sannoh,"Samuel Issa",I,808080,342,,Yes,Final/Certified,
7503,7502,2017-12-29,"Village Headmen","Village Results",Boyor,Kamara,John,I,808080,336,,Yes,Final/Certified,
7501,7500,2017-12-29,"Village Headmen","Village Results",Boyor,Kamara,"Sulaiman Bennie",I,808080,323,,No,Final/Certified,
7485,7484,2017-12-09,"Village Headmen","Village Results",Benguema,Kamara,Ibrahim,I,808080,321,,No,Final/Certified,
7491,7490,2017-12-29,"Village Headmen","Village Results",Bolima,Conteh,Abdulai,I,808080,318,,No,Final/Certified,
7701,7699,2017-12-29,"Village Headmen","Village Results",Kwama,Koroma,"Bobson Saidu",I,808080,317,,Yes,Final/Certified,
7843,7842,2017-12-29,"Village Headmen","Village Results",Tombo,Bangura,"Mohamed Othaim",I,808080,311,,No,Final/Certified,
