SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionWard,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,ElectionRound
33055,33054,2018-03-07,Councillors,"Ward Results","Ward 116",Conteh,John,SLPP,009900,1145,31.53,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30466,30465,2018-03-07,Councillors,"Ward Results","Ward 139",Koroma,Sheku,APC,FF333C,1134,63.64,No,Provisional,male-blank-profile-photo.png,"First Round"
33971,33970,2018-03-07,Councillors,"Ward Results","Ward 190",Yillah,Nabieu,APC,FF333C,1130,17.56,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30764,30763,2018-03-07,Councillors,"Ward Results","Ward 143",Kamara,Sieh,APC,FF333C,1130,43.70,No,Provisional,,"First Round"
30496,30495,2018-03-07,Councillors,"Ward Results","Ward 128",Turay,Hassan,SLPP,009900,1119,53.52,No,Provisional,male-blank-profile-photo.png,"First Round"
32551,32550,2018-03-07,Councillors,"Ward Results","Ward 339",Fofanah,Idrissa,APC,FF333C,1115,21.45,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34523,34522,2018-03-07,Councillors,"Ward Results","Ward 262",Koroma,Alpha,I,808080,1109,10.15,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33049,33048,2018-03-07,Councillors,"Ward Results","Ward 115",Sesay,Abubakarr,SLPP,009900,1105,15.50,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34627,34626,2018-03-07,Councillors,"Ward Results","Ward 008",Fayia,Mark,APC,FF333C,1094,26.80,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34665,34664,2018-03-07,Councillors,"Ward Results","Ward 011",Moigula,Baoma,APC,FF333C,1093,16.83,No,Final/Certified,female-profile-blank-photo.png,"First Round"
34573,34572,2018-03-07,Councillors,"Ward Results","Ward 003",Kendor,Mohamed,I,808080,1081,22.82,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34343,34342,2018-03-07,Councillors,"Ward Results","Ward 248",Barrie,Mohamed,SLPP,009900,1080,15.89,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32439,32438,2018-03-07,Councillors,"Ward Results","Ward 328",Samson,David,SLPP,009900,1079,25.27,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30400,30399,2018-03-07,Councillors,"Ward Results","Ward 141",Marah,Kalie,SLPP,009900,1073,40.83,No,Provisional,male-blank-profile-photo.png,"First Round"
34047,34046,2018-03-07,Councillors,"Ward Results","Ward 198",Kamara,Alpha,SLPP,009900,1070,22.66,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32745,32744,2018-03-07,Councillors,"Ward Results","Ward 317",Kamara,Patrick,APC,FF333C,1063,21.18,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34467,34466,2018-03-07,Councillors,"Ward Results","Ward 258",Kargbo,Foday,SLPP,009900,1057,18.40,No,Final/Certified,male-blank-profile-photo.png,"First Round"
